,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Actin,Unkn,NC,19.15,
,A02,SYBR,Actin,Unkn,NC,19.27,
,A03,SYBR,Actin,Unkn,NC,19.98,
,A04,SYBR,Actin,Unkn,NC,19.72,
,A05,SYBR,Actin,Unkn,NC,20.36,
,A06,SYBR,Actin,Unkn,NC,20.29,
,A07,SYBR,Actin,Unkn,2133,20.11,
,A08,SYBR,Actin,Unkn,2133,20.13,
,A09,SYBR,Actin,Unkn,2133,20.52,
,A10,SYBR,Actin,Unkn,2133,23.66,
,A11,SYBR,Actin,Unkn,2133,39.87,
,A12,SYBR,Actin,Unkn,2133,,
,B01,SYBR,Actin,Unkn,668,20.17,
,B02,SYBR,Actin,Unkn,668,20.04,
,B03,SYBR,Actin,Unkn,668,19.75,
,B04,SYBR,Actin,Unkn,668,19.72,
,B05,SYBR,Actin,Unkn,668,19.15,
,B06,SYBR,Actin,Unkn,668,19.15,
,B07,SYBR,Actin,Unkn,2253,21.39,
,B08,SYBR,Actin,Unkn,2253,21.69,
,B09,SYBR,Actin,Unkn,2253,21.30,
,B10,SYBR,Actin,Unkn,2253,21.83,
,B11,SYBR,Actin,Unkn,2253,22.31,
,B12,SYBR,Actin,Unkn,2253,,
,C01,SYBR,TCF4,Unkn,NC,22.82,
,C02,SYBR,TCF4,Unkn,NC,22.73,
,C03,SYBR,TCF4,Unkn,NC,22.63,
,C04,SYBR,TCF4,Unkn,NC,22.58,
,C05,SYBR,TCF4,Unkn,NC,22.78,
,C06,SYBR,TCF4,Unkn,NC,22.83,
,C07,SYBR,TCF4,Unkn,2133,23.40,
,C08,SYBR,TCF4,Unkn,2133,23.27,
,C09,SYBR,TCF4,Unkn,2133,24.19,
,C10,SYBR,TCF4,Unkn,2133,23.32,
,C11,SYBR,TCF4,Unkn,2133,27.56,
,C12,SYBR,TCF4,Unkn,2133,,
,D01,SYBR,TCF4,Unkn,668,23.72,
,D02,SYBR,TCF4,Unkn,668,23.87,
,D03,SYBR,TCF4,Unkn,668,23.87,
,D04,SYBR,TCF4,Unkn,668,23.88,
,D05,SYBR,TCF4,Unkn,668,23.71,
,D06,SYBR,TCF4,Unkn,668,23.79,
,D07,SYBR,TCF4,Unkn,2253,25.28,
,D08,SYBR,TCF4,Unkn,2253,24.87,
,D09,SYBR,TCF4,Unkn,2253,24.56,
,D10,SYBR,TCF4,Unkn,2253,24.49,
,D11,SYBR,TCF4,Unkn,2253,25.26,
,D12,SYBR,TCF4,Unkn,2253,,
,E01,SYBR,MCU,Unkn,NC,34.56,
,E02,SYBR,MCU,Unkn,NC,34.12,
,E03,SYBR,MCU,Unkn,NC,34.10,
,E04,SYBR,MCU,Unkn,NC,34.78,
,E05,SYBR,MCU,Unkn,NC,34.84,
,E06,SYBR,MCU,Unkn,NC,36.85,
,E07,SYBR,MCU,Unkn,2133,33.69,
,E08,SYBR,MCU,Unkn,2133,33.60,
,E09,SYBR,MCU,Unkn,2133,35.59,
,E10,SYBR,MCU,Unkn,2133,34.68,
,E11,SYBR,MCU,Unkn,2133,33.94,
,E12,SYBR,MCU,Unkn,2133,37.70,
,F01,SYBR,MCU,Unkn,668,34.57,
,F02,SYBR,MCU,Unkn,668,,
,F03,SYBR,MCU,Unkn,668,36.26,
,F04,SYBR,MCU,Unkn,668,33.80,
,F05,SYBR,MCU,Unkn,668,32.66,
,F06,SYBR,MCU,Unkn,668,33.58,
,F07,SYBR,MCU,Unkn,2253,35.17,
,F08,SYBR,MCU,Unkn,2253,35.09,
,F09,SYBR,MCU,Unkn,2253,34.42,
,F10,SYBR,MCU,Unkn,2253,,
,F11,SYBR,MCU,Unkn,2253,35.12,
,F12,SYBR,MCU,Unkn,2253,39.30,
,G01,SYBR,MICU2,Unkn,NC,22.15,
,G02,SYBR,MICU2,Unkn,NC,22.03,
,G03,SYBR,MICU2,Unkn,NC,22.02,
,G04,SYBR,MICU2,Unkn,NC,22.01,
,G05,SYBR,MICU2,Unkn,NC,22.32,
,G06,SYBR,MICU2,Unkn,NC,22.38,
,G07,SYBR,MICU2,Unkn,2133,22.34,
,G08,SYBR,MICU2,Unkn,2133,22.31,
,G09,SYBR,MICU2,Unkn,2133,22.18,
,G10,SYBR,MICU2,Unkn,2133,22.43,
,G11,SYBR,MICU2,Unkn,2133,22.13,
,G12,SYBR,MICU2,Unkn,2133,23.07,
,H01,SYBR,MICU2,Unkn,668,23.01,
,H02,SYBR,MICU2,Unkn,668,23.02,
,H03,SYBR,MICU2,Unkn,668,22.77,
,H04,SYBR,MICU2,Unkn,668,22.52,
,H05,SYBR,MICU2,Unkn,668,22.15,
,H06,SYBR,MICU2,Unkn,668,22.25,
,H07,SYBR,MICU2,Unkn,2253,24.08,
,H08,SYBR,MICU2,Unkn,2253,23.45,
,H09,SYBR,MICU2,Unkn,2253,23.00,
,H10,SYBR,MICU2,Unkn,2253,23.13,
,H11,SYBR,MICU2,Unkn,2253,22.56,
,H12,SYBR,MICU2,Unkn,2253,23.42,
